iteration: 550, loss: 0.0087, scmap loss: 0.0077, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 560, loss: 0.0091, scmap loss: 0.0082, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 570, loss: 0.0085, scmap loss: 0.0074, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 580, loss: 0.0089, scmap loss: 0.0077, locref loss: 0.0003, limb loss: 0.0009, lr: 0.0001
iteration: 590, loss: 0.0091, scmap loss: 0.0080, locref loss: 0.0003, limb loss: 0.0008, lr: 0.0001
iteration: 600, loss: 0.0079, scmap loss: 0.0068, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 610, loss: 0.0091, scmap loss: 0.0081, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 620, loss: 0.0085, scmap loss: 0.0076, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 630, loss: 0.0081, scmap loss: 0.0072, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 640, loss: 0.0081, scmap loss: 0.0072, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 650, loss: 0.0084, scmap loss: 0.0075, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 660, loss: 0.0091, scmap loss: 0.0078, locref loss: 0.0004, limb loss: 0.0009, lr: 0.0001
iteration: 670, loss: 0.0086, scmap loss: 0.0075, locref loss: 0.0004, limb loss: 0.0008, lr: 0.0001
iteration: 680, loss: 0.0087, scmap loss: 0.0076, locref loss: 0.0003, limb loss: 0.0008, lr: 0.0001
iteration: 690, loss: 0.0075, scmap loss: 0.0065, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 700, loss: 0.0073, scmap loss: 0.0061, locref loss: 0.0003, limb loss: 0.0009, lr: 0.0001
iteration: 710, loss: 0.0076, scmap loss: 0.0068, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 720, loss: 0.0075, scmap loss: 0.0065, locref loss: 0.0003, limb loss: 0.0007, lr: 0.0001
iteration: 730, loss: 0.0075, scmap loss: 0.0067, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 740, loss: 0.0088, scmap loss: 0.0078, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
iteration: 750, loss: 0.0076, scmap loss: 0.0068, locref loss: 0.0003, limb loss: 0.0005, lr: 0.0001
iteration: 760, loss: 0.0069, scmap loss: 0.0061, locref loss: 0.0003, limb loss: 0.0006, lr: 0.0001
