fish,trial,fs,n,conf_head,conf_tailB,conf_tailE,distance_cm,mean_speed,max_speed,max_accel,theta_sd,theta_range,theta_fpeak,theta_f95,FNN_min,FNN_m3,tau,m,theiler,SampEn,ApEn,D2,lambda1,DET,LAM,TT,ENTR,Lmax,v_SampEn,v_DET,v_D2,group,theta_mean,theta_median,theta_skew,theta_kurt,asym_amp,asym_dur,asym_count,n_halfcycles,beat_amp,beat_rate,PE_H4,PE_C4,PE_H5,PE_C5,PE_H6,PE_C6,PE_missing5,Trev_1,Trev_10,DFA_alpha,alpha_width,alpha_asym,h2,dh,AMI_0,AMI_decay,AMI_firstmin,AIS,TE_theta_to_v,TE_v_to_theta,CI,MSE_slope,MSE_s1,MSE_peak,RN_trans,RN_clust,RN_degcv,RN_eps,hull_area,Rg,occupancy,d_wall,spread_index
f2,f2v1,114.73333333333332,3442,0.999418942475305,1.0,0.9877977919814062,72.34392313999473,2.226082556300441,19.825600922793488,490.38798078010615,33.36397788455582,160.6641814914,0.2240885416666666,3.1372395833333333,0.11,0.17,28,4,112,0.1014762717602628,0.2213134277441271,0.8014963897568272,2.023803785338126,0.9458084579502044,0.9708118173267042,8.600034010713374,2.401861181367266,64.0,0.0599786174431459,0.8711287577992058,0.5976007159074562,healthy,-27.616456826882946,-29.341840786782186,1.1062947742813642,6.0307720780763,-0.0967489157983537,0.0832301375219969,-0.0714285714285714,56,35.86811070552601,1.8666666666666667,0.5949265224141075,0.2631053742982164,0.5378617426905403,0.3105292381047824,0.4994715060638344,0.3610022723696983,0.3,-0.2109315735278254,-0.598227919148838,1.2545276435526236,1.414469448829088,0.3792383669446524,1.1684827071008728,1.080903356920172,2.3812594159787186,12.0,28.0,0.2528059572520959,0.0072068310769821,0.0088634932090858,0.4512902708595664,0.0330948478176985,0.1271887140748882,15.0,0.266215056180954,0.2399081140756607,1.373311161994934,12.098167419433594,50.88773636151252,2.698088405127725,46,2.027226128535116,0.009723195538604726
f2,f2v2,118.0,3540,1.0,1.0,0.986723163841808,70.84983447979108,2.171509376562981,15.679306772098588,315.9147692854907,35.87545924006799,161.32340972118126,0.115234375,2.765625,0.094,0.154,38,6,228,0.1213598628889331,0.2258608206175782,2.9203921095065084,1.8599344893937064,0.9637848763309788,0.9812360650955388,13.905359515724198,2.6007883366161173,179.0,0.0614695037949293,0.9366496432887608,0.9517398318928966,healthy,-27.39068480235253,-28.747346470247955,0.5450688550523116,3.067129055412054,-0.2250587573614821,0.0335198071587754,-0.0196078431372549,51,37.69081769357845,1.7,0.5944508426590954,0.2648201436863305,0.5386005128139134,0.3120481350408436,0.5019219175192469,0.3602323804783106,0.275,-0.3333483683025832,0.0390986221814424,1.33274143968107,1.1193082986992415,0.4929181299339344,1.2588271276666287,0.8829210983884577,2.625130562686051,12.0,38.0,0.2509592884797287,0.0087651311956498,0.0112528230231991,0.5748034382026256,0.0489697373356329,0.1524056343897871,15.0,0.2271198034286499,0.2104465812444687,1.384649395942688,19.160898208618164,26.860485330008306,2.1507778390575303,36,1.3770576179369165,0.005351015087728966
f2,f2v3,118.43333333333334,3553,0.9997185477061638,1.0,0.994370954123276,76.3199419947685,2.3338499224471816,19.573859109082512,393.4653629760358,49.52638112555337,232.0615445578076,0.1156575520833333,5.667220052083334,0.108,0.182,31,5,155,0.1231210291511102,0.2015616520028738,1.925638965325639,0.5511157940922891,0.9216217284731556,0.960366094726022,8.771869639794168,2.36744586590968,70.0,0.0765546336552276,0.916860498644778,3.7679485003620914,healthy,-18.13717139041244,-23.912166708380013,0.8236368662350182,1.2262986923504018,-0.17838741707105,0.0255421686746987,-0.0181818181818181,55,50.10761425112271,1.8333333333333333,0.6072816159527626,0.2590636671931641,0.5498690888581146,0.3084693576898298,0.5102866372360527,0.3621238998382419,0.25,0.3054589893155524,0.2711133567076754,1.2523737456798936,1.2638240273018249,0.4720486986469431,1.195923443028677,0.99890552514483,2.84425473866193,11.0,31.0,0.2442667351446034,0.0087640653009888,0.0097942805002033,0.6781741278423554,0.0638576438139867,0.155610728139063,15.0,0.3407538831233978,0.2636473476886749,1.28486430644989,31.83713722229004,36.41617325039392,2.559043650688446,46,1.107164854829819,0.006251989548066371
f2,f2v4,121.0,3630,0.9991735537190084,1.0,0.9977961432506888,83.91316006953323,2.548972726547182,16.02852223929235,349.0659248065763,44.05934391964948,201.1710833547992,0.236328125,7.08984375,0.07,0.158,50,8,400,0.098520503636668,0.2107845790249158,4.381932799678384,0.1651696974906683,0.9745369273769482,0.9878369415888956,10.940320041972718,2.7486958469169767,138.0,0.0834237445952846,0.9562231581568084,1.1162276791406134,healthy,3.172881691154637,4.288819858015834,-0.2984299081585861,1.957089100668635,0.1818052649243089,0.0469605913949901,-0.0625,32,68.62804816013235,1.0666666666666669,0.5912465780972507,0.2646643495472192,0.5350741060399054,0.308827606249121,0.4957625807986872,0.3568857807889249,0.2333333333333333,-2.6103233091836424,-0.6244541494908782,1.2739066288565848,1.757085511520013,0.4809161029636856,1.2259084829425368,1.3947829471696571,2.7830735693563144,14.0,50.0,0.2550438401117914,0.0072293501618456,0.0084854238630329,0.427570334928792,0.0326946898648954,0.121967184648649,15.0,0.3838125467300415,0.2682929635047912,1.2344740629196167,33.593955993652344,31.762611992037225,2.327516932539474,38,1.956009106379181,0.004510825808026628
f2,f2v5,120.43333333333334,3613,0.9986161084970938,1.0,0.9975089952947688,122.70507276739636,3.800449759702885,20.286738537714744,330.67943110604955,47.68387044121755,176.94516539337818,0.1176106770833333,4.351595052083334,0.064,0.17,33,4,132,0.1531120213279351,0.2504891037668759,3.5132881334064576,0.736523898298173,0.9442130260443026,0.9725736754000078,8.060821166411229,2.307204908739995,94.0,0.1867950155327953,0.899613250378342,3.3361312553485365,healthy,11.504446885559172,8.47414557698858,0.2019286862972051,-0.204045404207334,0.1634916412260774,-0.0552010000657938,0.0588235294117647,34,65.9762523458775,1.1333333333333333,0.5532373866847721,0.2682118140706856,0.4916675916575467,0.301945837187302,0.4518107202122481,0.3368514508778351,0.2916666666666667,1.4643815890806606,-0.2451730307441322,1.2690146734395331,1.2520817729901392,0.4260230313803166,1.1881928095881678,0.9883964691672784,3.040912950209746,9.0,33.0,0.2958794587851335,0.0065512024605998,0.0096952681313309,0.7676779545800352,0.0740002155055699,0.1917300982472839,15.0,0.2320215851068496,0.2240653783082962,0.8392441272735596,40.14224624633789,74.57624418485672,2.661190423056488,66,2.694459131725392,0.004953081486882615
f2,f2v6,117.53333333333332,3526,0.993193420306296,0.9994327850255248,0.9906409529211572,99.8922637150902,3.028779669443831,27.12326890240388,644.3864816648558,44.20590961172572,183.603781492408,0.4591145833333333,2.984244791666667,0.092,0.166,54,5,270,0.0561174092334998,0.1770496257349627,2.935015592992163,0.6810139404540716,0.9604485788557802,0.9805465443530196,14.013355848940742,2.691023730668471,84.0,0.0860100256448568,0.9635962041884816,2.0115333518372847,healthy,25.122286496264007,11.086183486249377,1.151094808110775,1.9962119904817337,0.3489828109906766,0.1662436169259713,-0.1794871794871795,39,61.04945957813596,1.3,0.5584204286548543,0.2672997140061408,0.5001080101460011,0.3020417556669925,0.4604246821009389,0.3408629957774894,0.2333333333333333,-0.7974532149172987,0.2223243390038436,1.3280189399696416,0.6531084416980162,0.8267053398006292,1.252387533747789,0.5305095614225304,2.6537536188838606,13.0,54.0,0.2877528451908029,0.0070813863348908,0.0074648403238735,0.2142993718253847,0.0170669676682162,0.0624806047040454,15.0,0.3413746058940887,0.1963692754507064,1.8710919618606567,26.24991035461425,35.60163040170577,1.9361677511345723,45,1.9982472165397247,0.0035678466297531385
f2,f2v7,120.63333333333334,3619,0.997236805747444,0.9991710417242332,0.993920972644377,103.88723762877746,3.1262077907410326,24.675309200991983,614.847629478223,51.73457562402857,237.79524083801053,0.1178059895833333,6.479329427083333,0.1,0.18,33,6,198,0.1317608001693772,0.2611854277011098,1.7111726694224,0.4009285433163924,0.9574589578872236,0.9770674008361374,11.347820937944102,2.5610793598509294,90.0,0.0445585038687124,0.9290107836648888,0.8510404032087702,healthy,-8.4243611794433,-11.903359174544654,0.2879449786440479,0.929197500001639,-0.0070880803947654,0.0570241532286459,-0.05,40,75.12792914001666,1.3333333333333333,0.5943183705325172,0.262341405810896,0.5352877594112326,0.3072348800732207,0.4955056389932543,0.3551108847913229,0.2666666666666666,-0.1890017287580654,0.1582352850689549,1.2120415652689565,1.8192865324572849,0.3773904223262848,1.1276558310083944,1.497240890834799,2.935099042913308,11.0,33.0,0.2566624928182715,0.0077627265859603,0.0096601506275488,0.5101429188121135,0.0370071659794954,0.1549463068675053,15.0,0.2848149836063385,0.2256340235471725,1.3152620792388916,38.28120422363281,71.71543259981657,2.6885572380191785,64,2.7857088400234464,0.006644896571815853
f2,f2v8,121.6,3648,0.9997258771929824,0.9923245614035088,0.9961622807017544,67.99019358777412,2.0751688560446824,11.913135118678907,276.8284616447287,41.10284970176023,165.23396746754543,0.11875,4.6312500000000005,0.056,0.144,32,5,160,0.0969880570013792,0.2037478789921563,2.223283334447729,0.5368042784106285,0.9552357320099256,0.9771910669975186,11.655262223274535,2.625649117399912,70.0,0.105567026045537,0.9582495564754584,0.9138467886454292,healthy,-0.4084698564294088,-6.800775272500935,0.9395608643753448,1.275641548393864,0.0979944164416701,-0.0047235343150874,0.0,22,65.28055046091316,0.7333333333333333,0.5838596768586091,0.2649811224380607,0.5260431665756172,0.3072241209364914,0.4880499785839299,0.353759362644684,0.275,-0.8715231765160514,-0.021962865471141,1.2952797566542729,1.2096075240381854,0.5861983999347563,1.2221361875324912,0.9467433565874928,2.7964967335817734,17.0,32.0,0.2637626081203837,0.0108035049703543,0.0097729684195599,0.4816498059073442,0.0408973608142333,0.1199917268641437,15.0,0.3303151428699493,0.2103866934776306,1.243212342262268,28.402650833129883,43.561674967605086,2.49139254284219,45,1.7074296129262465,0.00942349522355119
f2,f2v9,119.3,3579,1.0,1.0,0.9983235540653814,74.3409165413741,2.285968735858232,17.54688699464562,365.5609700077137,36.50060238065086,149.88340278942388,0.34951171875,3.4951171875,0.032,0.128,40,5,200,0.0759894652179565,0.1444764449270006,2.6843034471359863,0.4425557057308415,0.9859899928520371,0.9922087205146534,17.786381109280615,3.097978404044928,123.0,0.0859694817008789,0.9381637717121588,0.8180730623544421,healthy,1.3029781148900357,-2.4985084460252964,1.1571706209500383,2.107728291656321,0.3132083713405633,-0.0941451463009377,0.1,20,62.05411877163982,0.6666666666666666,0.5779476649190397,0.265464100295206,0.5196372568119492,0.3057247473515727,0.4802021695881621,0.349780004139324,0.225,1.6607373001025858,1.1331680018550696,1.3474454377759302,1.6551456316084052,0.488357948702615,1.2696775667713458,1.2584104995695842,2.728973192053618,19.0,40.0,0.2701637225868258,0.0073899350074246,0.008768926380942,0.4321066124997536,0.0383311382863999,0.0973445337637437,15.0,0.0827260687947273,0.0517955906689167,1.2141520977020264,24.21512222290039,41.53691359971968,2.496093596276023,45,2.3034718719936973,0.007515855137716322
f2,f2v10,120.03333333333332,3601,0.9997222993612884,0.9977783948903084,0.99055817828381,107.67361381892157,3.3136401689364616,18.15240865519337,453.4028575987471,44.76201391592154,192.49805283115143,0.1172200520833333,3.3993815104166663,0.13,0.168,34,5,170,0.0935940840648283,0.1775276047711353,3.650004554523064,0.6954757216992054,0.9748505627636392,0.9870354451130524,12.086291309669525,2.68882829510903,104.0,0.1149191432846325,0.9362306689025528,4.34530013059642,healthy,-7.0855529677055085,-12.012477969305532,0.8946705574781653,1.6187414049656228,0.1547359410669912,0.1179746835443037,-0.1034482758620689,29,73.63480664857522,0.9666666666666668,0.5474848741669129,0.2680309034060428,0.4872890337278667,0.2989065045095455,0.4469490428393288,0.3334306866747711,0.2833333333333333,-0.1042354590750896,-0.3723454702165142,1.3658832119652713,1.774800601830596,0.4226592103412285,1.2871545800522453,1.3966379104804083,2.7982945031392,12.0,34.0,0.3029723928481347,0.0056361283931463,0.007574220580679,0.4900997985895494,0.042352597890205,0.1172729071364893,15.0,0.2523749470710754,0.1863361448049545,1.2432292699813845,32.09477615356445,54.9932335193138,2.5061672748718657,59,2.325631339089244,0.0047434101383747596
